channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
Al Jazeera English,War on Gaza: Israeli shelling destroys UN building in the vicinity of al-Shifa hospital,2024-04-07T13:02:20Z,Mq1JqMiwRrU,35211,1221,447
Al Jazeera English,Anti-gov’t protesters hit by car in Israel | Al Jazeera Newsfeed,2024-04-07T12:58:46Z,RoMHVlFo9Sw,71247,3988,345
Al Jazeera English,How credible is US rhetoric on ‘policy change’ towards Israel? | The Bottom Line,2024-04-07T12:40:37Z,7BeRRJjYLWQ,63894,1446,442
Al Jazeera English,At least eight killed in Russian strikes on Ukraine’s Kharkiv,2024-04-07T12:06:47Z,fSRXjAloHgw,5251,101,29
Al Jazeera English,Israeli army says four soldiers killed in southern Gaza fighting,2024-04-07T10:58:26Z,3xwnt9IFB3U,68298,1508,430
Al Jazeera English,Six months of Israel’s relentless war on Gaza | Al Jazeera Newsfeed,2024-04-07T10:27:32Z,4QCrLMm9sLo,16974,1457,228
Al Jazeera English,Palestinian boy dances amid Gaza ruins | AJ #shorts,2024-04-07T10:15:37Z,krx-oqXwgTc,1782060,160988,5640
Al Jazeera English,Discovery of Rwandan genocide victims continues after 30 years,2024-04-07T09:38:15Z,SI85cYMGgOo,14077,231,65
Al Jazeera English,Israeli forces fire tear gas at worshippers after last Friday prayers | AJ #shorts,2024-04-07T08:57:31Z,T0uGs6fJG6c,35735,3737,136
Al Jazeera English,"Thousands of Israelis protest against government, urging captive deal",2024-04-07T08:28:51Z,dnnsJ4cZu54,25132,674,366
Al Jazeera English,Latin American countries condemn Ecuador raid on Mexico embassy,2024-04-07T06:28:02Z,Tpcj3IR9d8U,66282,914,643
Al Jazeera English,Al-Shifa Hospital ‘an empty shell with human graves’: WHO,2024-04-07T05:11:05Z,36G6s86hFWQ,106279,3554,1148
Al Jazeera English,Does this week mark a turning point for Israel and its allies? | Inside Story,2024-04-07T00:00:29Z,mAjfw8Uru9A,224709,4225,1365
