comment,likes_count,label
trumpet said he wanted to get rid of the constitution the document american laws go off of trumpet wants to be an autocrat just like his buddies kim and valdimir its insane people still think hes a viable canidate and would be okay with him being a dictatoror in other terms king for this country the thing the first americans fought to not have back in the 1700s trump supporters seem to want americas founding to be for nothing to go back to how it once was when britain owned our country ruled over by a kingdictator,2,1
should compare side by side trumps union address of 2020 and this so that all americans who watch and the world will see the honest difference of a president who works with dignity and a narcissist arrogant selfish moron who talks only about himself,1,1
my boi putin is laughing as we speak,3,1
admiration respect and fealty president biden votebidenharris2024 voteblue2savedemocracy keepamericafree2024,3,1
actions speak louder than words while i can agree to some key points in his speech our economy is 100k today is like 50k 6 years ago we need deflationhigher priority for tax payersamericans and less regulations for the private sectors to flourish while most of us want to focus on a better future its hard when our present has been built by lies i wish we had a law that made it illegal for our government to lie to us anyways were free to believe what we want at least for now social media may cancel you you may even get a random charge for posting different opinions with that being said trump 2024,2,1
am happy when he said america was built by middle class people not by world street and our ancestors were bought to america either by chain or by hand this is classic someone who knows america he lives in not like trump who thinks america belongs to his family history will tell i pray god should keep him stron and in good health,1,1
he earned my financial support today and vote on 06nov24 i wish there is another person to compete trump due to his age but he appears reasonable and in good health god bless the potus mr biden and our troops,3,1
funny the biggest topic of the day is the border and he doesnt mention and damm thing about the border just why is that and no one in that audience noticed that shit well the rest of us did,2,1
it un forgivable what this presdent has done,2,1
did anyone hear hate coming from this presidents mouth no no no,1,1
if trump wins russia china and iran will have game set and match the us will drop off the global stage our allies will switch sides and those who stand by the us like israel will lose the war trump seeing everything falling apart around him will reach for the nuclear option but it will be at that point where he sees the limitations of his power as the world changes with a new global super power whose not allied with the us,1,1
best president,1,1
angry and bitter grandpa how did this puppet become president lol we all know the answer stolen election,1,1
my president,1,1
sad we are in so much trouble what is he talking about does anyone believe him so out of touch we have never been worse the president salinskys wife turned biden down to be here everyone that watches msnbc commented favorable for brandon below you people need to get out more maybe take a trip to san francisco or new york see presidents policies in action enjoy the border party biden throws daily celebrate by giving more money to ukraine which is winning the war give away more middle east or ukraine give illeagles more money on credit cards to super inflate inflation food at the store so cheap im 100 positive he has no idea what is really going on crazy anyone bet the nobody watches the oscars anymore got better ratings fani willis is more believable 80ooo hired irs agents will make sure everyone will pay there share thanks president biden things never been better one woman w guts braver then most all these clowns has no clothes,1,1
what a scumbag president,2,1
you cant love your country only when you winbest quote of the night,2,1
320 fake lies trump bows down to no leader you mistake him with obama who literally bowed to foreign leaders and no foreign leader worries about president biden just buy some of hunters art and give directions,2,1
this is what a president sounds like couldnt even imagine trump making a speech thats positive but you can guarantee trump will attack people take credit for achievements of others and thats the man maga wants a looser a true bum that weakens america bless usa bless the peoplebut to hell with trump,1,1
he wont ever say that to putin face,2,1
cant even get 10 likes on this for the most popular president ever,1,1
actions speak louder than words fiery speech for sure but what he will actually do is a totally different story our country is in peril and all this man has are words nothing else hes had 3 years to make a real difference and now towards the end of his term does he finally start talking about taking action its all a ploy to get reelected hes full of hot air and wont do a single thing to truly help our country period,1,1
maybe he is senile but hes still the best us president in my lifetime,2,1
how can people stand this man trump is atleast funny at times id vote for trump if i was american,2,1
this guy is so dangerous to our nation so sad to see how many peope get brainwahsed by a well written speech he had nothing to do with he is just a puppet he has no idea what he is saying by tomorrow he will forget everything he said,1,1
trump i hate this country americans why trump because i lost but if i win this election ill love it again and even hug the flag,2,1
not my president,1,1
i see a future for americans with 35 trillion in debt and bankrupt country with 4 more years of this leadership good drugs to keep him active and alert though so shout out to his medical staff,3,1
présidence 2024 usa america sir amamra said king of thé world thanks you sée than,2,1
worst president in usa history,3,1
mr president you speak with authority clear and with complete sentences age aint nothing but a number god placed you in this season you are fit to continue as my president thank yougod thank you,2,1
at the risk of repeating myself thank you mr president for making it clear in no uncertain terms where your values and commitments lie defending freedom equal rights womens right to choose trying to ease the financial burdens of underpaid americans and tapping the bank accounts of the mega millionaires right on your sotu was exhilarating uplifting and gave me a sense of hope in these bizarre times for our country thank you,2,1
4 more yearssimple choice decency or evilgod bless our president,2,1
no wonder trump is scared to debate him,1,1
i think if he has enough strength to scream that loud he can run the country for the next four years,3,1
a president who has respect for the oath he swore the office his job as president for the country the flag and the american people vote blue,1,1
joe your letting facts get in the way of trumps campaign for his autocratic dictatorship and paying for his treasonous crimes keep it up dumpty cant,1,1
trump 2024 fjb,1,1
my vote is trump ib 2024,1,1
i see someone who hasnt done what he promised the first four year why would i believe he eould do anything the next four years stop using gods name for uour campaign this was not a state of the union speech but a campaign speech,1,1
yes 4 morning years people give it to him he is doing great for america and its people,1,1
that is a real president a president that fights for its people even does that are against him,2,1
