comment,likes_count
128 covid i skibidi with bro what is this debate,78
whoevers pulling the strings behind biden abusing that poor old man like this although he deserves it from his prior sins needs to be indicted this is horrible,78
131 covid uh i skibidi with,78
biden speaks like he is midway from yawning,77
army widow here so my two cents are only in that topic biden doesnt care about the military if he could he will stop all pensions and va benefits at least trump was right in that sentence trump approved the greatest increase for active and retired personnel he took care of our troops and families and hes the only president who hasnt fought a war i think both parties could have other candidates but at least trump didnt lie on that,76
as a veteran i can vouch for trump ive had it much worse these last four years absolute tyranny,76
they should have held this at a nursing home instead of a stage,76
top tier comedy watching from south africa,75
please people stop making fun of an old man that have an early stage of alzheimer this disease do not play be compassionate and considerate his wife shouldnt have let him go through this,75
casual diskussion of 2 drunk friends in an irish pub,74
he is being fed what to say this is elder abuse his wife must hate him to put him through this,74
man cnn was like fuc it post it oh and let people comment,74
veterans definitely 100 percent like trump more than biden,74
we have a thousand trillionaires,72
as a brit this is comedy gold joe looks lost everytime he speaks this should be a roasting debate,71
trump breathes biden the idea,71
750 and 1150 is the exact same highlight back to back editor you had one job,70
joe bidens expressions are dedicated for memes,70
bidens family even said he cant function after 4 pm so anything important has to be done before then what im guessing is what joe is suffering from is called sun downing this happens to people with dementia getting agitated and even more confused as night falls this is so sad this man needs helps shame on thise close to him who arent helping him he needs to retire and have personal carers,70
can both of them stop pointing fingers at one another and just answer the questions as soon they were asked,69
oh the comments but for real biden looks like when im struggling to stay awake and my child is trying to talk to me pops is a joke i was so lost and couldnt understand what the hell he was talking about,69
i dont understand why people are so surprised about biden im in the uk and cant vote and i knew that he wasnt really running your country at least 3 years ago,68
why do people dislike trump he is speaking only facts in this debate the nation is falling apart with the choices biden and his team are making,65
damn dude biden is way past his prime but trump was dodging questions like a footballer i genuinely think a high school debater could whoop both their asses in this debate,61
i agreed with trump because i have seen it iligal criminal immigrants traumatized the good working people of ny and mocking our police force and living in hotels dolores a 77 american citizen born in the us trying to find a decent apartment that she can afford i was shopping for a used car for my son and because the years of uncontrollable inflation you cannot find a decent car that is less than 6000 figures i feel like i was living in my country of origin i am an american born in ecuador my vote is for trump 2024,61
how long it took for cnn to coach joe for this debate and then he just blown it,61
you would think theyre in hs debating over whos going to be the class president honestly ive seen children act more mature than this lol,61
ah shit he said trillionaires beat medicare to death it was over when his head went down,57
donald trump vs joe biden is like watching 2 toddlers argue over a toy truck,57
by comparison trump vs biden feels like intel core i7 vs calculator,57
im not american and at first i thought those two were running for presidency in a nursing home,57
its so desperate that americans must make a choose between them,56
biden looks like a robot dude,56
why is he still the president its obvious hes out of his mind hes way too old he needs to go sit down somewhere hes destroyed our country for the last 4 years why are we still listening to this guy come on people lets get it together im from the projects in the hood but lets keep it real bring trump back we need trump i didnt even vote for trump last time but now i see the truth we need trump back thats just a fact,56
donald trump is avoiding the questions like a champion,56
noooo guys biden is old i understand he loves his home country but he is old it broke my heart on the first clip where he forgot his words and when trump was talking he didnt even blink he must accept and go rest his health needs it,56
i rather listen to trump talk about golf then sleepy joe talk about whatever hes tryna say,55
you americans are really something if you dont like these two perhaps you can elect my grandma shes only 94,55
the golf argument is really what got me,53
hey im from india is that elderly man okay whats wrong with him i have to suggest you vote for donald trump,53
just know kids never make fun of someone unless they are a politician we are fucked in this election,52
i dont care what yall say if biden wasnt a president he could 100 be an actor that look of shock on his face is priceless,52
country with 350m people can find only two candidates one senile another one narcissist sad,52
why cant we get like a 40 yr old president instead of this seniors,52
talking about eachothers golf skills what about the inflation the people fucking starving the dieing middle class,51
the way trump looks at him when he glitches,51
the part where they start talking about golf had me dying,48
this feels like a middle school bullying session im embarrassed for our country with this kind of debate,47
never thought i would say this but i thank cnn for putting this out and leaving the comments section open,46
129 with the covid i skibiddi with,45
biden struggles to speak on a subject for longer than 30 seconds and just kind of forgets what hes talking about trumps answer to literally every question it was the best under me and the worst under him youre telling me out of 300million options these are the 2 top candidates yikes,44
biden really said covid i skibidi with,44
trump said lets not act like children,44
the way trump says abu bakr albagdaddy kills me every time,44
they look more like two fellas arguying in a bar than two politicians this is by far the lowest level debate i saw in my life,43
proud of cnn for the steps they have taken allowing comments actually keep this video uploaded,43
trumphe beat medicare to dead,43
you have morals of an alley cat i started crying by then,41
they didnt have an audience because they didnt want to mute so many people roaring for trump,40
someone is dehydrated please give him some water,40
for a minute i thought this was an snl skit,40
new insult unlocked you have the morals of an alley cat,39
biden will return in the mummy part 2,39
insane that cnn is not including the independent candidate insane us politics,39
i stand with donald trump,38
did the simpsons predict two presidential candidates debating about who is better in golf,38
this is all hilarious us politics is like a sitcom,38
if you turn trump upside down hes smiling the entire time,38
if you see this please send positive vibes my way ive been struggling with health issues for years and could use your prayers,37
this is like listening to two elderly men bickering are at the dinner table in the nursing home,37
please just let the poor guy enjoy his retirement watching this felt like he was forced,37
trump 2024 biden had no chance in this debate hes as smart as a potato right now let that old man get retired this is elderly abuse at this point,37
love from north korea thanks for the great show chairman kim,36
they pulled one guy off his deathbed and one guy from the crackhouse and are letting them rule us,36
its not who speaks better but who runs the country better,36
trump says hes never smoked before but he just smoked him,35
welp grabs wine and koolaid were all fucked,35
i refuse to vote for either of these people im disgusted,34
with trump wearing a red tie and biden wearing a blue one this is literally a crip vs a blood,34
young men are being sent to battlefields at the command of old grandpas what a world,34
as a democrat i can not vote for biden he is so lost sad day for our country i may not like trump but he is a better fit i must do what is best for our country and biden is not it,34
lets not act like children best joke in this special,33
joe when he sees trump who the fook is that guy,33
you didnt show bidens electricuted moments when he was completely phased out not fair,32
happy to play golf with you if you can carry your own bag,32
biden looks like ai robot,32
i fear for americansthe presidential candidates you have are comedians,31
the world is watching the two old white guys in this debate argue about their golf scoreswow,31
im tired of this migrant business they are being handed everything and there is a young american girl in front of my building for 5 years that is surviving on what the neighborhood gives her and just where exactly did he get on the subject of agent orange and if our taxes are paying for all the insurance these people are being given why do i still have to pay so much for my own 1200 a month,31
neither chatgpt could create such a parody,31
that wasnt even a debate it was a grandpas feud,30
never thought id see the standing presidents argument on all topics be nuh uh,30
130 skskibidi with,30
i thought this was just another ai president debate video,30
its like biden tries to recite memorised poems but fails,30
5000 nuclear warheads and one man i literally almost shit my pants after what i saw,30
i feel like im watching a new tv show and im not even american,30
biden is the biggest liar ive ever seen except my ex wife,29
they call it migrant crime id call it biden migrant crime absolute gold lmao,29
the facial expression of president biden said it all if usa can experience this theres hope for african countries,29
would you let biden take your dog for a walk,29
is this an snl sketch or is america truly done for,29
im from poland i read the comments below i have a question for you american citizens you write that they are both too old but you are the one who votes,28
just please help the veteran to get off the streets,28
this is not debate this is grandpas fighting each other,28
were cooked trump is so embarrassing biden is just in a magic pixel of health bruh were cooked,27
watching from the uk biden is an embarrassment to the usa the world was a better place with trump in control,27
how can these be the best candidates america has to offer,26
i agree with donald trump,26
our country is in such a sad and dangerous state right now,26
joewe got a 1000 trillionairs in america trumps eyebrows,26
we have some of the smartest people in the planet live in this country and we are left with these two to chose from what a joke we are living in,25
the golf issue,25
biden looks confused the whole time trump on the other hand looks though he is honey boo boos stepdad blowing kisses to mama june,25
this is a joke how embarrassing,25
trump lets stop acting like child biden youre a child if they got a netflix show together would be good,24
trumps composure was outstanding during this debate he just brought him to the cliffs edge and let him slip and fall all on his own,24
there are 333 million people in the us and these are the 2 best ones you have lined up for the most important job in your country the us is a joke of a country,24
notice that majority of the questions were approached to trump and followed up by biden giving him time to formulate an answer,24
within the first 5 minutes of the debate after all the truth president trump said about all the bidens lies all that you guys could say in a bracket on screen was the question about deport every documented immigrant and that was when you cut president trump short and didnt even let us hear his awnser im from south africa the land of corruption and i as an outsider can see all the bias and unfairness towards president trump what prosperity we would have had if we had a president like donald trump,24
trump complaining about weaponization is absolutely hilarious the person had to remind him what the question was while he was trashing biden,23
this is cruel how could we treat a senile old man like this,23
i know for a fact biden was pointing at absolutely nothing when he walked on to that stage,22
joe s facial expressions never stops amazes me,22
i dont understand a word biden says i dont think he knows what hes saying,22
i need to know what is a black job just for clarification so i can go to hr first thing in the morning,22
covid i skibidi with uhhh brooo,22
is biden seeing trump for the first time because formers expression seems like that,21
america in general needs a better option than biden and trump period this is really sad,21
donald you should apologize to me rn biden the idea that i should apologize to you donald then head nods 701 712,21
the amount of gaslighting joe does is incredible he thinks everyones memory is as bad as his,20
this debate was such a fucking joke nothing important was remotely addressed,20
usa has 342000000 people and they are the only two options for president it looks like a snl sketch,20
the porn star argument had me rolling lol,20
trump walking out like mike tyson getting ready to fight peewee herman,19
poor biden is so old i feel sorry for him being there exposed and almost not being able to create words,19
age is catching up with president biden american people the best you can do for the grandpa is to thank him for many years he has served the nationallow him to go home and rest,19
morals of an alley cat,19
our president is not mentally apt to a debate is not his age is his mental health,19
when trump is speaking trump biden when biden is speaking trump biden lmao,19
my dad was a vietnam veteran and loved trump,19
thats 60 seconds of my life ill never get back,18
this wasnt a debate it was a peeing contest,18
biden is talking about article 5 as if ukraine were a nato member,18
every time biden says that fact of the matter is i start rolling these 2 are like tom and jerry,17
suckers and losers what an enlightening debate or not an embarrassment to this country our country,17
trump speaks the truth,17
are the woke awake yet your country is in a mess people,17
i dont think joe biden could even understand himself,17
saying if i was president putin wouldnt have invaded ukraine is wild lol,17
tell your jewish bosses to print more money,17
this debate is all about who is more loyal to israel,17
if you know the movie life of brian biden is the preacher with the least watchers under the balcony,17
as an african in a third world country these two make me feel proud about our dictator,17
why is everyone in the comments acting like trump embarrassed himself in anyway shape or form that was possibly one of the easiest debate for him,17
no one can ever say trump doesnt care about america and being president,16
watching from australiaamerica are you ok,16
im a 38 year old black retired home owner born and raised in chicago illinois i get a ssi check i receive medicare but even i can see that this this right here is a very serious problem for everyone involved,16
he cant defeat me if he cant understand me boe jiden the art of democrats,16
everytime biden talks i just shake my head i live in arizona and i went to circle k its a gas pump with a sticker on it with trump pointing to the price saying biden did it,16
this is why there should be an age limit for this office same goes for driving,16
750 and 1112 you guys repeated the same questionfootage the fact that no one in the comments noticed this shows how no one is actually paying attention,16
best reality show for netflix and chill,15
it was very hard to understand joes yapping without subtitles,15
the democrats have done nothing for us veterans,15
at 050 im sure during trumps blank stare he must be thinking what in the actual ef is he saying,15
2851 why are the two presidential candidates arguing like 8 year olds oml,15
this is the first time i see biden walk normal,15
its like watching two kids on the playground my dad can beat up your dad im better than you no one likes you whiner loser liar no real issues discussed regarding us or how to try and clean up the mess the usa is in right now homelessness shoplifting rental prices food prices gas prices all out of control come on we need help not someone who can play golf i doubt if biden could carry his own golf bag without toppling over if these are our choices were not gonna make it,15
200 billions for ukraine war and millions of us citizens who are in poverty even homeless right now thats brutal,15
is he malfunctioning or dribbling on his own circuits right now,15
ahh the duality of man the guy whos stumbling over words and the one who compensates with countless lies and contradictions,14
the entrance alone sends you off,14
who is the guy on the stage with trump,14
am i the only one that thinks it looks like biden looks like hes shocked when hes told what hes done as a president as if its his first time hearing it and then goes right into looking like he is really concentrating on being fed lines through an earpiece while trump talks,14
the golf part made me cry of laughterthese old men,14
i went into hibernation during the obama presidency and i just awoke is this a skit,14
honestly am dying is this a presidential debate or a presidential comedy club,13
you know who needs a cognitive test anyone who votes for biden,13
why is biden so angry this was so sad if looks could kill,13
i got my handicap down to a 6 and trim lols,13
what the democrats did in afghanistan is unforgiveable and possible the worst thing with the most lasting consequences of any foreign policy decision in the last 100 years disgraceful,13
can we just get a video of foreign leaders react to the us presidential debate would like to personally see each ones reaction to this,13
cnn broadcast the biggest trump rally ever,13
the golf part is hilariousand tragic,12
you know cnn is done with joe shmoe when they keep the comment section open,12
a man and a robot,12
sooo many young politicians that can actually speak with clarity and do a way better job than these elders,12
how are we represented by geriatrics,12
there is no audience but biden waves and says hello folks,12
131 i skibidi with,12
biden comes out waves to the moderators and says whats up to the podium kind of weird,12
550 when biden said my son was not the loser or a sucker youre the sucker youre the loser and started at trump meliciously,12
biden you have the morals of an alley cat,12
you can never say what couldve been you can only say what is,12
these are like 2 pathetic schoolkids trying to get brownie points by slagging eachother off instead of explaining their planned policies,12
exchanging insults and bullying is more than an electoral program a play and salvation,12
whats really scary is that a majority of the american people will actually get up travel to their designated voting location and actually place a vote for one of these two congratulations,12
this cant seriously be the best that america has to offer in the last 8 years,12
omg that is so embarrassing after watching this my american dreams were destroyed haha,11
respect for the lady who had to keep repeating the questions,11
so this two elders are also included in elderly care program,11
is joe biden for real calling donald trump incompetent what a joke,11
why would cnn put up youtube video highlights of a presidential debate without closed captions asl interpreters ddeaf people exist,11
this guy has ruined everything that i spent 30 yrs working 23 jobs at time to make things better for my family now we are at poverty level thankfully i paid for my house and have 1 moderate car payment or we would be living day to day like we did when we first got married 38 years ago spent my whole life to get ahead this idiot crushed everything i have worked to get in 4 yrs my home cannot afford 4 more yrs of biden or democratic policy,11
im a uniform solider 24 years old never voted and im going to vote this year for trump,11
what has happened to usa doesnt they have young energetic and dynamic presidential candidates,11
why does america have to chose between a convicted clown and a person that has difficulties in holding a coherent speech,11
in israel we are stuck with benjamin netanyahu who only cares about staying in power but after watching this the situation in the usa also seems very sad,11
trump lets not act like children biden you are a child,10
a legitimate debate between two adults should never involve name calling and insults how immature and embarrassing it simply should be that you call out each others policies and why they dont work what you would do differently and why it would work and provide statisticsfacts to back up your argument,10
poltics out im an english learner and i almost understood everything biden said through the debate so proud of myself,10
neither of them cant answer a freaking question and go straight to the point they just keep rambling about everything else,10
what happened to an alternative tird party option,10
we need to stop this 2 people 2 party limitation for such an important position so many other potentially qualified people,10
the cnn editing in this debate for those who actually watched it live is freaking hilarious they truly will let the entire world blow up in an attempt to save a little bit of face,10
cmon americawho voted for biden,10
american people are the most patient people in the world,10
i see so many people saying stuff like oh trump was the only good one or biden was the only good one i feel as if we should all agree that no matter who gets chosen america is cooked,9
how is even cnns own highlight reel basically a biden gaffe reel,9
trump better win,9
951 trump has a point,9
cant you vote anyone else than these elders,9
as a canadian for this one time only im not sorry im lmfao gotta love demoldcracy,9
i thought i was watching the debate not weekend at bernies,9
whenever i see biden i feel like playing pink floydbut i still cant understand what the hell he is trying to say though,9
dude waved at one of the camera men that arent even visible lmao then said oh shit i just did that cant finish even one single sentence without a stutter blunder or hiccup its like hes got that 20 second mind span his brain only goes with full function for 20 seconds and then restarts its sad stop this,9
trump was explaining fnaf lore and biden was having a sleepwalking episode,9
can they answer any of the questions they ask like youre supposed to,9
biden look at all that i turned around bruh you serious,9
around 130150 trumps looking at biden like are you okay,9
im not american but i found the discussion interesting biden looks like a tired penguin,9
i dont go to the circus because i dont like clowns,9
joes face is funny as hell,9
that debate was the worst i have ever seen,9
i know yur swing ive seen yur swing this is now my 1 goto snapback when dealing with ops,9
i have no idea what biden said i can at least understand trump when he talks cnn you made trump look good here lol,9
joe kept forgetting he already finished the statement i cant believe this is seriously a president im embarrassed,9
did no one tell biden to not stand with his mouth open when it wasnt his turn to speak,8
umm can we have a president thats under 70,8
trump is the man,8
america is about to fall apart the options for our next president are both idiots,8
joe biden walking out on stage was the most anticlimactic moment ever,8
what language were they speaking,8
huh im confused biden should retire and trump should take a year long cruise,8
they dont debate on who is better but on who is less worst,8
29 million views so fargooo trump ya just picked up 29 million votes,8
now i believe politics is just same everywhere around the world lies bullshit blame games,8
joeys voice was raspy because he screams like an angry old man at all his speeches,8
i rewatched this debate as a nonamerican change joe diapers and ask him to step downpoor america,8
если без всяких шуток говорить то отдайте дедушку в хороший дом престарелых зачем так издеваться над человеком это ужас,8
summary of the debate biden i have the better wheelchair trump you know what joe i know so much about wheelchairs that no one has better wheelchair than i do rest of the world,8
most embarrassing moment in the history of our countryjanuary 6th covid nonresponse and family separation have entered the chat,8
these two losers are really arguing over their golf swing is this really the best we got in all of america for a president this is sad,8
biden looks as if he is about to cry,8
mr trump is right man who can lead usa for next decade,8
im surprised that sleepy joe hasnt fallen asleep during a speech,7
when will be the next debate,7
i am french and i can inform you that like the american left the french left is also collapsed in front of the overwhelming spectacle of biden poor guy hes really pitiful condolences to the american left and god bless trump,7
what happened to america i think america got so meddled in other countries affairs and not been paying attention to its own affairs america is no longer the super power it has always made the world believe these two have exposed u for who u truly are,7
these grandpas should be enjoying their holidays and avoid the risk of getting cardiac arrest next please,7
biden cooked himself,7
trump did not answer 1 question it was blaming blaming blaming,7
