comment,likes_count
while ny judiciary makes the nation proud the sdny and main justicedoj still stinks 1 why didnt they pursue trump individual1 after he left office in jan 2021 2 why didnt doj pursue obstruction of justice charges recommended by mueller after jan 2021 3 why did they waste 125 years before starting to investigate trump and appoint a special counsel,1
us is making history a former president is adjudicated by a court as sexual assaulter in 248 years a president or former is criminally indicted for the first time in 248 years a former president is found guilty of felony in 248 years tbd a convicted criminal felon is going to be a presidential candidate,1
juror 2 gets his news from truth social yet there was an unanimous conviction imagine how strong the evidence is,1
now we can officially say criminal convict trump and criminal felon trump neither youtube nor the video publisher can remove it,1
finally wins a popular vote unanimous win,1
this is the most corrupted court case in the history they didnt fined any crime they prosecute him and they decide his guilty for crime that didnt exist this is we against,1
bwaaah haha haa lock him up,1
he finally won a vote,1
trump 2024,1
i love maga tears let it rain,1
ha so much for throw her in jail throw him in jail 34,1
not hearing any boooos from the crowd he sure has a collection of titles now convicted rapist and convicted felon oh and twice impeached lets not forget that one you seriously think this criminal should be running the country 999 of you wouldnt invite a rapist and felon to dinner at your homes but they are still qualified to be the president,1
its so funny how the comments trump makes about his trial are indistinguishable from the comments alex jones made during and after his trial,1
they didnt raid bidens house because biden let them search anywhere they wanted trump had 9 months to hand over the files and had his minions hide them duh you must think fox veiwers are morons,1
trump will be 47th president in november,1
couldnt happen to a better traitor,1
can the judge lose job for this miscarriage of justice,1
american justice has become a comedy show,1
trumps lawyers and the prosecution in common agreement chose 12 jurors the jurors took a closer look at the evidence more than you or me or anybody and it takes only one juror disagreeing on guilt to trigger the not guilty verdict how can anybody say that it was rigged,1
rigged its a witchhunt etc lol,1
if he never ran for presidency again this never wouldve even happened,1
the sexualy liable abuser wife cheater tax evader draft dodger twice impeached four times indicted demented covicted sore loser is fully qualified to be the banana republican 2024 candidate,1
trump 2024,1
we the people pardon trump,1
hes gonna be 47,1
absolutely nobody makes excuses like a trump supporter,1
ya gotta love it liar and con man crooked trump convicted on 34 felony counts hope he gets life in prison without parole thank you jurors,1
only psychopaths with little to no conscience support donald trump the bible said in the latter times men will have their conscience seared with a hot iron,1
do all you people gloating know that hillary clinton was found by the fec guilty of the exact same crimes she was found guilty by a federal agency of illicitly using campaign funds to fund the steele dossier the document that started the entire russia collusion hoax this is fact it in the official records now its not fox news disinformation do you know that she was found guilty by them for hiding the payments as legal fees by falsifying her records do you know that all she got was a slap on the wrist an 8000 fine click on a new tab and search hillary clinton campaign finance fine and read one of the articles available on left leaning new sites and learn for yourself just be honest and tell us you are perfectly fine with half of your fellow americans living under a different set of rules laws and consequences spare us you trying to argue the facts,1
anything that is in favour of crown trump he will thump up anything that is against him he will scream and shout on top of his voice this is political persecution political motivated or peoples who do the right thing against him are scums hence how would he be statesman where he does not obey the rule of law is he a man of jungle as he believes the law of jungle his mother was right who voted for crown trump he is either a gullible or a moron,1
truly interesting how many comments show how woke many still are,1
why anyone would think this rogue judge and his handpicked jurors would have come up with any other verdict is ridiculous note in ny only 4 jurors need to vote guilty on each count out of 12 jurors that is anything no not unanimous nor is it considered unanimous in other states such a dog and pony exhibition and msm shut their mouths about biden authorization of muntions force from us in russia,1
trump maga 2024 we will not back down we want justice,1
guilty as charged,1
ill still vote for trump even if he goes to jail it beats having biden,1
good morning usa i got a feeling that its gonna be a wonderful day,1
trump 2024 between 20and24 years in prision,1
heh hehhehehehahahahahaha,1
in addition to being convicted on all counts as a person of color orange theres a strong possibility that hell be given a maximum sentence,1
34 for 45,1
trump is guilty its not hard to make that assertion if you pay attention to what is actually said and done in the court room except people cant seem to abstract politics and their hatred for the other team long enough to think clearly rationally and objectively anymore i am no democrat dont really support biden and that has zero to do with the fact that trump was guilty he just does the same old song and dance every time blame every one and every thing else but himlike a child no matter how much this guy claims things are rigged evidence evidence evidence simple,1
im so glad they found him guilty he needs to realize nobody is above the law he doesnt care about us or america its all about him jail i hope,1
america gets to choose between a hair smelling ice cream eating dimensia suffering old man and a narcissistic felon is that the best that usa has to offer,1
and dont forget president trump will win november 5th 2024 and those real criminals that committed real crimes with overwhelming evidence will finally pay if this country is yet turned upside down,1
republicans need to start thinking about a plan to replace trump as the nominee before the rnc convention instead of engaging in stupid and futile protests outside the nyc courthouse,1
ll,1
cry republicans,1
convicted felon donald trump he couldnt even get a job a many fast food places with his criminal record,1
crybabies all in the comments,1
3434 convicted felon rofl,1
hahahahahahahahahahaha,1
so let me see if i get this straight i have to pass a background check to be a cashier at stop and shop yet a convicted felon gets to run for president of our country can somebody make sense of this because i sure the hell cant,1
