channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
Fox News,Georgia court agrees to hear Trump&#39;s appeal to disqualify Fani Willis,2024-05-08T13:54:53Z,FAzdV4FzXI8,183999,3964,1043
Fox News,Biden admin pauses key weapons shipment to Israel,2024-05-08T13:30:12Z,E157zwbw5VA,88422,1295,1441
Fox News,Boy Scouts set to change name to be more inclusive,2024-05-08T12:45:03Z,K--RK23SErE,25002,1086,1182
Fox News,&#39;The View&#39; hosts fantasize about sending Trump to GITMO: &#39;Wishful thinking&#39;,2024-05-08T12:00:36Z,_o8awJb-g-A,39998,983,755
Fox News,Judge denies Trump&#39;s request for a mistrial after Stormy Daniels&#39; &#39;irrelevant&#39; testimony,2024-05-08T11:00:30Z,QoFXsLbxuOE,151855,2715,1839
Fox News,Major decision made in Trump&#39;s classified docs case,2024-05-08T10:07:11Z,vQk2rL5lQ5I,217491,5585,1786
Fox News,GW professor to anti-Israel protesters: Go to Gaza,2024-05-08T09:00:49Z,vhVsugkRPHY,88383,3671,878
Fox News,Lindsey Graham: Democrats are afraid of the Hamas wing of the party,2024-05-08T08:00:06Z,6S7ICXod748,52192,1727,576
Fox News,This is such a corrupt case: Alan Dershowitz,2024-05-08T07:00:17Z,hMiZLXh2iU4,173286,4329,1587
Fox News,&#39;MORE SMARTLESS’ INTERVIEWS: Jen Psaki defends Biden’s media absence,2024-05-08T06:00:06Z,G97KalBcnl0,34258,746,292
Fox News,An inside look at a Honduran migrant fentanyl ring,2024-05-08T05:00:12Z,Ph8-IDz3EP0,154119,2270,633
Fox News,Gutfeld: The legacy media can’t get Trump out of their heads,2024-05-08T04:00:34Z,t5iS4PomGmo,302125,10842,1420
Fox News,Gutfeld: Biden’s chief economic adviser crashed while trying to explain cash,2024-05-08T03:15:00Z,GVMRVMCmGlk,207871,6819,1018
Fox News,Trump lawyer: This is the demise of our judicial system,2024-05-08T02:30:14Z,HQpamQhGnHI,213323,6882,1933
Fox News,Greg Gutfeld: This is why Kim Jong Un canceled on Kristi Noem #shorts,2024-05-08T02:15:01Z,T4rD13t0nfg,51042,2036,119
Fox News,Sean Hannity: This is disgraceful,2024-05-08T01:38:54Z,VBhLir0WsTg,91046,3377,1102
Fox News,‘The Five’: Biden calls college protests ‘despicable’,2024-05-08T00:45:02Z,ys-xxqj3Er8,104140,3365,1227
Fox News,John Fetterman: We need to have a secure border,2024-05-08T00:00:10Z,QjWChA0Llhc,174921,5078,2207
CNN,Full Interview: Biden sits down for an exclusive interview with CNN,2024-05-08T23:38:08Z,4P1E9iKf__Q,306253,4435,8777
CNN,Marjorie Taylor Greene begins effort to remove Speaker Johnson,2024-05-08T22:02:36Z,yf4PwFLFRNs,447199,6458,4420
CNN,Biden defends his record on economy,2024-05-08T20:30:29Z,K4BU1rBrPrI,75416,2652,1502
CNN,Tornado tears down ‘every single tree’ in Michigan yard,2024-05-08T19:24:43Z,Wj21SbfNgYk,57604,1401,111
CNN,Hear how Trump’s defense team plans to shift strategy for Stormy Daniels&#39; cross-examination,2024-05-08T18:57:27Z,da9AzLREKx0,191987,1807,1116
CNN,&#39;This interview is ridiculous&#39;: Noem gets upset with Fox host who pressed her on dog killing,2024-05-08T17:50:11Z,LOQkS4PvD-U,534157,6767,2878
CNN,Dr. Gupta explains what could have led to RFK Jr. having a worm in his brain,2024-05-08T17:09:43Z,mVkokeNsv68,362624,6074,3749
CNN,See how cargo plane landed after landing gear failed to deploy,2024-05-08T16:12:44Z,3nf_rnPQwDM,33266,858,73
CNN,Car caught on cam going airborne,2024-05-08T14:26:24Z,ueSb_uioobE,44727,891,42
CNN,NASA simulation shows what it would be like to get sucked into black hole,2024-05-08T14:07:56Z,hrL6M6V3qp0,21091,687,44
CNN,Judge says he won’t tolerate Trump’s cursing and headshaking,2024-05-08T13:41:33Z,8eGbQJc-z-s,328226,4101,3611
CNN,‘Disastrous’: Honig weighs in on Stormy Daniels’ responses during cross-examination,2024-05-08T03:08:05Z,mchsOA2RDus,530407,5714,2539
CNN,Retired judge makes prediction about Trump classified docs trial,2024-05-08T02:24:35Z,3gJK02yC_-g,827068,11425,3161
CNN,Ty Cobb reacts to judge indefinitely postponing Trump classified documents trial,2024-05-08T00:22:45Z,Of7FtU8pCdM,466340,6581,5008
NBC News,New campus crackdowns on pro-Palestinian protesters,2024-05-08T23:45:00Z,Ug7Rg5l_M1Q,12786,105,100
