comment,label
trumpforprison2024,0
everybody sing start spreadin the news trumps leavin today at least for three years unless hes in jail and we all will be a part of it new york new york trumps soontobe vagabond shoes are being told to amscray right out of the very heart of it new york new york,0
this is bullshit trump 2024 now more then ever wake up people,0
i dont care what your politics are whats happening in this country is extremely scary today him tomorrow us,0
he will appeal and win this is such a joke he seems to alway win against simple minded democrats,0
omg people hate him for loving usa just leave him alone focus on all the illegal immigrants here destroying everything for the hard working americans,0
you people are all crazy go trump save america impeach biden and all the other corrupt politicians get that judge out,0
its almost like trump really is a big douche,0
the trump derangement in the comments,0
he is going to decapitate the economy before the nov electionhe just got his thor hammer taken away from him,0
all the communist who hate the rich are loving this i predict trump will get a fair hearing and he will win his appeal trump2024 blacks4trump,0
trump for prison,0
and this guy is still able to run for president yet i cant own a handgun this country is ducked up,0
hey cnn what about biden,0
its not political but for doing what 90 of businesses do they pick only donald trump to persecute you tell me,0
republicans are we still winning,0
he still has his nfts and he can cut up his clothes his supporters would buy a piece of his suits ties etc probably not his soiled diaper,0
this nation is so wicked i guess most people would rather have joe biden 4 more years of him and the nation will not be a nation anymore,0
putin has nothing on biden talk about politically wrong cant wait for the worm to turn as they say,0
total garbage new york should be ashamed who is the victim wtf justify my ass the fact that you arent picking this apart just backs trump youre fake news,0
if trump was reelected he would have the longest secret service detail in modern history sounds like a conflict of interest,0
this is great news hes held accountable,0
you are all fake lieing news,0
president trump is the next president so thier trying to dry him up of money but hes winning in 4 out of 5 swing states so before you crazy liberals attack me the polls are from liberal outlets sooooo yeaaaa its over,0
so im supposed to vote for a man who breaks my countrys laws to lead my country,0
look at all the stupid communists celebrating a corrupt justice system going after a political opponent you guys would make great citizens in george orwells 1984,0
trump habbas inability to control their mouths hurt chrump,0
this is election interference pure and simple had president trump done this to senile joe all these news people would be yelling trumps tyrant,0
election interference,0
i feel that americas getting greater again,0
so i am an invested party in this atrocious nonsense on my 124 ddwag biden is a muppet and in next few weeks im going to show why cia llangely mclean virginia,0
lol you guys are really afraid of this guy biden crooked government at its finest hunter will celebrate tonight with a few hits of crack,0
maga they are turkeys begging for thanksgiving russia china and iran will hit usa next and trump will ask why vlad,0
this why cnn is full of garbage,0
we stand with you trump,0
this is fake news from cnn not real,0
we have bigger problemsthen trumps real estate crumblewe are going to get a blowback not just because of israel hamas war trump is going to make sure we have a literal real estate crumble in this country an earthquake is coming august 2024hes been planningdont believejust watch,0
i read all these comments and its sad to see so many dont care about the injustice but only care that someone tried to open their eyes to how their willfully ignorant and it scare them so much to hate one person so much,0
awesome news eff the trumps unrelate why do women do that thing with their voices when they are trying to be authoritative and basal where they sound like little kids pretending to be adults,0
the pendulum always swings the other way be careful you may hate trump today but it could be us tomorrow it the us tomorrow and we dont have that kind of money to fight the government this is so scary,0
this is nothing but election interference,0
happy presidents day trump,0
election interference that is all this is,0
when we put him back in the whitehouse i hope he gives like he got trump 2024,0
couldnt happen to more deserving people ivanka well try to step in now to run the business,0
lol yesssssss now we need to just put these trump terrorist family in prison,0
by the way cnn is fake news democrat propaganda,0
responsibility matters for all lives usa,0
you people that is bad mouthing trump you are not smart enough to see what is going on guess you want the democrats back in office look what they have done to this world already,0
trump for the people and the people for trump to save america from dangerous lunatic leftestwhat goes around comes back around ten fold this will make him stronger hell appeal and take all busines men out of nyc as well as business,0
trump is still winning it doesnt matter what happens at this point he is invincible from any loss of support he could commit genocide in pakistan and no one would bat an eye,0
what were watching is the systematic stripping of the peoples choice to vote for the candidate they want a judicial system out of control and bent on removing our choice for president next time maybe well just resort to putin tactics and lock up our political opponents until they die in jail,0
he better flee to russia,0
trump is a successful businessman the business is scamming americans but he sure is successful at it,0
so trump no good biden no goodthrow them both outwho will be competing for president in next election,0
if trump hasnt coughed up the damages within 7 days nato should be invited to do whatever the heck they like to maralago and every other trump property,0
lets all be honest everyone expected this to happen and accept the fact that this trial was a hit piece to defame and slow trump keep watching cnn so u can be misinformed lol,0
what a complete pile of bs who was the victim here only one i see is trump and i dont vote trump ive been in realestate for 30 years ive never heard of anything this stupid i hope like hell this is appealed,0
its okay he got maga crowd sponsoring him,0
and now we at cnn can safely say your new president donald john trump,0
corpse court strikes again i noticed everyone trying to take down president trump why they all look like night of the living dead and everyone gloating about it the village idiots,0
it is well known that threats to america are more likely to come from inside the country this is not news it is a call for the truth,0
was trump ever a real big player at all seems all the stories we hear makes him a loser his whole life basically,0
time for the republican party of russia come out crying im sure lindsay gram will be crying for money,0
he still didnt didnt it right lies right delusional yes,0
soros buys a lot and cnn you can happy dance as any negative that spews about trump,0
remember this democrats communist you reap what you sow,0
democrats run from democracy like cowards,0
yes nobody cares about this youre wasting my tax dollars on trumps trial cause hes still gonna win go trump,0
clearly election interference tds,0
nothing to see here move along what about hillarys emails,0
this will for sure get him elected,0
for going against the corrupted regime,0
responsibility matters for all lives usa,0
horrible day for america its becoming communist and hypocritical jealousy and hate should not be turned towards the best president the united states has had,0
trump did all of this to himself,0
karma is coming for trump,0
trump and everyone around him do nothing but lose,0
thats a lot of adult diapers hes starting to fill them up as soon as he heard that if you love trump send ketchup to mar a lago,0
real news verdict will be overturned trumps media company will be going public trump will walk away with 4 billion dollars by the way cnn how many employees are you laying off and cutting their pay,0
sir you want nato to pay or be attacked by russia sir what do you think now you smelly bastard,0
no laws broken no victims just stupid angry dems,0
the more the government railroads trump the more we the people will vote for trump in 2024,0
he was a fraud since the great decade of the 80s and we have to come to a realization with the relationship of the people and politicians well most of them that is when it comes to people like fp trump people will still support this guy no matter what humanity is drawn more to a crooked leader than a honest leader that was proven and proof that we are at the point of no return with the bout between trump and clinton both had a laundry list of bad behaviors and for some reason we were drawn to them so rather if you are a dedicated voter or not no one have a right to complain about the person sitting in the oval office because somehow they were placed in there either by the people or by the people who so call represents the people,0
does anyone with a working brain still pay any attention to the communist news network,0
in order to maga trump must stop cheating american tax payers lock him up,0
the fake news media propaganda is having a party how crazy this is it resembles a third world banana republic with a few faithful fanatics,0
trump 2024 we have ure back,0
bunch of sickos gonna be great seeing sir trump win the election,0
you are so full of sht this is all bs cnn is a dying network,0
the leftwits are practically on their knees begging for conflict,0
cnn needs trump and everyone knows it,0
there are only american citizens ergo defining citizens by race creed or color is unconstitutional and in fact racist no one group of citizens can be treated any differently than any other group of citizens but democrats sucker people into chaos and create us and them narratives to keep democrats in office fortunately american citizens are wising up to the sucker scheme democrats play,0
hahaha donald trump is going to get pissed alina habba is following the leader to become the big loser junior if trump is smart enough sue her for malpractice to recover some of the losses,0
why of course he does did he add tar and feathers and it seems the democrats still have the most money backing them,0
donald u tired of winning yet,0
meanwhile no one bats an eye at the bidens democrats are the worst hypocrites this world have ever seen,0
because you all know thats a travesty michael cohen is deplorable your turf,0
sure sounds like cnn is on donald trumps side that is so sad,0
trump needs to get used to being behind those bars,0
i like presidents who arent rapists and fraudsters,0
trump should intrepose the 355 mil and this should start a new round of crazy right wing maga rants,0
good news trump is crook,0
fabulous hopefully that with the e jean carroll award will bankrupt trump,0
just saw trumps epic toddler tantrum on tv,0
and lets see how many idiots will raise their hands by typing fake news,0
trump trump trump trump 2024 2024 trump is the p,0
trump has been swallowed up anybody else ever been swallowed up,0
it is such good news actually great news because finally finally finally after an entire lifetime of lying cheating dodging bribing stealing blackmailing spying pretense nepotism hypocrisy stupidity corruption incompetency bigotry dishonesty degeneration desecration thievery thuggery treachery griftingsexual assault and threatening lives of innocent people the chickens have finally come home to roost by far twice impeached and triple crown indictment winner with one to spare yeah hurray its good news for all freedom loving americans americans who are for law and order not like the gop who are outlaws and like disorder finally we should have a good mugshot of this career criminal with him holding a numbered board in front of his chest have they taken measurements for his orange suit yet now the thing to worry about will be that he will use all that stolen documents those national security confidential documents as a get out of jail free card for himself and his family,0
welcome to the ussr whats the difference now this is a political attack nothing more when actions like this are celebrated god help us all,0
if it says trump its a grift and a lie,0
meanwhile the biden family of crooks walk away scotfree,0
what about the evidence that the bidens sold american secrets to our enemies millions of dollars this is just another slam by the swamp,0
yes and its about time for trump to go down,0
the art of the steal question for all those evangelical christian trump voters what happened to the 9th commandment and the 7th the 8th the 10th,0
im a lifelong democrat but im out this is a disgrace i will vote for trump in november,0
we need a lawful go fund me for trump we will call it the trump vs commie new yorkers fund 10 dollars each voter should cover it,0
good i hope this is the beginning of his end im tired of hearing anything from or about any and all trumps if baron was smart as soon as he is old enough he should change his name and move to europe the trump name will mean nothing good in history,0
oh poor donald another devastating loss to his name well he better get used to it and fast,0
wow dj trump bend over and take the position,0
i thought i was bad way back when trump is 99 badder than me,0
best of luck mr trump,0
maybe well all get lucky and putin will give him asylum,0
boom a little taste of reality donnie,0
92 pages long could have been put on an index card its all nonsense trump 2024,0
after his second conviction all the rats are gonna abandon the trump ship,0
its been a great week for america and a bad week for republicans,0
donald trump please sir read my message im so sorry this radical left marksist fawny wallace has did to you and i will donate my next paycheck to your campain me and my momma cant stop crying on count of what these libertarians and their cult leader joe husain biden are doing to our savior and our country we stand back and stand by with you sir the deep slate shall not prosper,0
if he gets elected he just ignore the ruling,0
foolish demoncrats this wont fly god will be in the middle of this,0
trump clearly will appeal and win dems just upset now because hes clearly going to win the election,0
cnn wrong again also 90m in interest,0
hell appeal it and use it as fodder for his revenge tour run for the presidency,0
cnn is scummy network,0
anything to try and stop americans from choosing a president afterall davos and the bolsheviks will select obamas husband to replace the kid sniffer corruption at the highest level,0
this has been another operation to change our electiopn again putin and a group of paid off republicans tried to influence the election with fake burisma charges againdst biden all centered on ukraine that putin is trying to conquer as part of his europe plan putin killed navalny as soon as his burisma hit operation on biden was discovered to push it from the news cycle think about this for one minute and you will know this is absolute truth,0
this is clearly evil against your fellow citizen if you are a christian and you want to vote these evil democrate in power then you have side with the devil this is witch hunt against one man,0
truly disgusting cnn,0
youre finished trump and thats only the beginning run donald free the country get in your jet go to russia and never bring your antiamerican ass back,0
republicans dig deep in your pockets,0
putin just has the leading candidate in a russia election murdered seems things are more efficient in russia,0
bad decisions have bad consequences reap it trump,0
lets see how the pompous arrogant trump sons uday and ousay trump mouth off,0
so great trump is just burning hehe,0
our country is broken and corrupt i hope president trump can file an appeal god bless you president trump,0
the worst part is trump has to take everybody out for ice cream and they get to order whatever they want,0
the biggest fake news propaganda so called wanna be journalists what a joe u actually support a banana republic and u support homas a terrorists group its amazing the corruption in the democrats party pathetic,0
arent you guys tired of getting wrecked maga dam give him up find a new hero this dude is orange juice dam,0
trump is americas alexei navalney,0
run away to russia putin will take care of you trump and i know you will do better over there,0
homeless people in nyc should start squatting in trump tower,0
after this ruling trump will bleed the rnc dry,0
banana republicwake up americans you can and will be next should you keep being a foolish believer of govt controlled media propaganda including the hate for donald trump whos on the peoples sideits why they hate him so much,0
stupid dump he used to make money and committed frauds left and right but no one paid attention until he had to draw attention from running the highest office,0
donald please continue to use alina habba as your attorney its clear shes doing an awesome job,0
lets bankrupt trump out of the election,0
it wont hurt trump at all,0
thanks for helping getting him elected,0
as far as im concerned this is only a good start and i might be satisfied if this asshole isnt allowed in any part of our government ever again and this asshole is forced to spend the rest of his natural life rotting behind bars the optimal word here being might,0
cnn dont blow this you can do it call donald a criminal baby steps,0
make america great again put trump in jail 2024 and more,0
this is soooo rigged soros,0
its not going to effect trump at all however it will hugely negatively effect the city of new york as it should,0
as captain tom said today is a good day trump will soon realise he is not above the law,0
i imagine that trumps boys are working the phones hard right now maybe the trump org will put on a nationally televised telethon to raise the money,0
to all u maga supports theirs your successful businessman,0
this is why he wants to a dictator he will never have to lose ever again if you vote him to the office consider yourselves doomed,0
dear liberals good luck collecting on that trump will be president later this year and biden will be just an ugly memory enjoy your hollow victories your time is coming,0
three cheers for the fraudster conman drumpf,0
if there is a dark side to this country that hate trump so much they would re elect biden or any democrat that thinks like biden then americas gone,0
trump got off very lightly,0
trump wont be singing i love new york new york,0
goodbye democracy all you democrats who are celebrating will not be celebrating when the now new political weaponization of the judicial system gets turned on you and it will clown show,0
with all these judgements against trump he should be broke in no time all his assets should be taken or have leans in them this makes me happy finally seeing him actually face the music trumps mo is tho delay delay delay and appeal appeal appeal and then blame blame blame he will never admit to anything its always somebodys fault its always the democrats trying to stop him from becoming president its bidens doing its obama planning his demise or its not a crime hes always right never wrong im sick of trump i do not condone what happened to jfk or mlk but it would not bother me one bit if i turned on the news and found out that trump and putin were jfkd minutes apart as a matter of fact i would celebrate i would actually take the day off and party like a rock star,0
aoc for president aoc and not da james is the one who exposed it while questioning michael cohen at a committee hearing,0
as a democrat we have to recognize its undemocratic to try to stop an opponent from running this is very thugish an just unfair decent people seek for fair competition and fair election im shamed to be a democrat in todays world,0
when is the fake news going to talk about obama having brennan of the cia and the 5 eyes intelligence agencys spy on president trump to affect the election when 7_567,0
just shut trump towers down see how many people will lose jobs and mew york taxes shut it down,0
trump has the reverse midas touch will the gop keep supporting him or will they say its a witch hunt i was an independent voter but i will not vote gop until maga is gone,0
democrats pushing to be like putin on a day that putin killed his political rival,0
cnn quality of reporting is so poor take your time to read ruling and report correct accurate information instead of this half baked news terrible glad to see drumpf found some accountability,0
make accountability great again,0
i hope the ag appeals to have all the trump companies shut down for excessive leniency,0
im lovin this finally this ghoul is getting just what he deserves when he was campaigning in first election he was bragging about how he did not pay taxes hes sure going to pay now we know damn well that he is using his campaign funds to pay his legal bills he put his daughterinlaw laura trump in as cochair for the rnc who handles the funds we know he uses campaign funds for his personal bills from the stormy daniels hush money scandal did he really think he was not going to draw attention to himself every middle class and under american citizen should be very offended by his words how anyone from the very beginning could not see through his bulshit is beyond me i say this often because i believe its relevant lbj was president when i was born we have never had such a classless person running our country i tried to tolerate him but the insurrection at the capitol was the last straw i look forward to watching all of his guilty verdicts and finally watching him be locked up,0
