channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
Fox News,Trump lawyer: We will clean house in November,2024-06-21T09:30:04Z,DHuerkwC57w,226163,7925,2203
Fox News,Kevin O’Leary: This debate could be costly for Biden,2024-06-21T08:45:01Z,Tm8RzO2e9d0,594151,10074,2694
Fox News,Alvin Bragg drops charges against students arrested at anti-Israel protests,2024-06-21T08:00:19Z,_b40RWzHguI,25592,570,525
Fox News,Trump understands the pain points of America: Gov. Doug Burgum,2024-06-21T07:00:02Z,1ByU1EEMYSY,18705,571,301
Fox News,House Intel chairman warns about Russia&#39;s space weapons threat,2024-06-21T06:00:20Z,qtptOkcKy1A,27965,482,358
Fox News,We need to restore a culture of law and order: Vivek Ramaswamy,2024-06-21T05:00:01Z,avnJT91Sz18,27417,1256,391
Fox News,Tomi Lahren: The Democratic Party wants &#39;these videos on a loop&#39; to get rid of Biden,2024-06-21T04:15:03Z,e0CSAdvjirA,94673,2246,657
Fox News,Gutfeld: There’s nothing better than this,2024-06-21T03:30:29Z,wOa2-28UghA,151971,5031,307
Fox News,Sean Hannity: Americans aren&#39;t buying this lie,2024-06-21T02:45:05Z,vzNwG0Bn7VY,55016,2108,1033
Fox News,Sean Hannity: The legend of &#39;Jacked-up Joe&#39; #shorts,2024-06-21T02:15:00Z,DlqT3XF0s1Q,155038,7734,897
Fox News,Jesse Watters: The media is fact-checking Trump&#39;s jokes now,2024-06-21T02:00:13Z,YfAN8byIqhw,185555,6559,1933
Fox News,Laura Ingraham: The Biden camp knows he is in a hole,2024-06-21T01:15:00Z,3Fa0EzQ52O0,156342,5766,1585
Fox News,Dennis Quaid on making &#39;Reagan&#39;: &#39;Very intimidating&#39; when I was offered the role,2024-06-21T00:30:00Z,aT5-qXMYgdc,25217,814,244
CNN,‘I’m not underestimating him’: Trump ahead of debate with Biden,2024-06-21T23:59:03Z,PcBXBqrfrzw,163376,987,2273
CNN,Steve Bannon makes longshot request to Supreme Court to avoid prison,2024-06-21T20:48:32Z,Kup_UJSZ1g8,216370,2728,2100
CNN,Buckingham Palace royal guards play ‘Shake It Off’ ahead of tour,2024-06-21T20:16:58Z,IyxcpP4SvKI,23335,1035,48
CNN,Trump Media shares are in free fall,2024-06-21T18:46:43Z,AMoAL-LRor8,408363,5726,2250
CNN,Boston Celtics celebrate championship with duck boat parade,2024-06-21T18:15:00Z,9CifbUqRW14,23579,732,46
CNN,Hear who is likely to play Trump during Biden&#39;s debate prep,2024-06-21T18:05:47Z,VofxaGJUbRI,75075,1354,959
CNN,Judge Judy on what she thinks about Donald Trump,2024-06-21T16:59:46Z,mDxgZNi4PdU,1247012,20297,4730
CNN,The US believes Israel&#39;s missile defense system could be overwhelmed in a war with Hezbollah.,2024-06-21T16:00:07Z,7HTaOcw2K-M,633440,4387,2931
CNN,Is this craft cocktail machine worth $350?,2024-06-21T15:32:03Z,TuXVO3PoQf0,5876,67,34
CNN,Supreme Court issues ruling in major Second Amendment case,2024-06-21T15:27:43Z,ZfnPsX_qj4o,160969,1588,1386
CNN,Smerconish says Trump&#39;s new tactic heading into debate is &#39;too late&#39;,2024-06-21T14:57:48Z,G9-fdpbbfz4,194543,2515,1381
CNN,Bangladesh hit by heavy monsoon flooding,2024-06-21T14:00:00Z,SIidoKwyxhk,17211,453,59
CNN,Ex-US Defense Secy. under Trump explains the message Hezbollah is sending Israel,2024-06-21T13:09:29Z,J1OkO6TW3Ck,129910,963,829
CNN,Hear co-author of Ten Commandments bill’s response to families who don’t share religious views,2024-06-21T12:27:27Z,TGY47kCOiOY,587546,13728,22518
CNN,Pollution threatens Olympic events in Paris,2024-06-21T12:09:07Z,nbwaAvqjjtc,39090,865,130
CNN,Biden and Trump are facing a historic rematch. Hear why it won’t be a rerun,2024-06-21T11:34:38Z,lzkVNOytGp4,108223,1549,1610
CNN,"Hear Trump mention losing the 2020 election, then backtrack, in newly released audio",2024-06-21T10:30:16Z,pd599RMuHuU,93454,1442,626
CNN,&#39;Purely imaginative&#39;: Bolton reacts to Trump&#39;s comments on Hezbollah,2024-06-21T10:00:39Z,e60qv8NIhjA,253335,2170,1729
CNN,CNN anchor breaks down upswell of Christian nationalism,2024-06-21T03:11:59Z,jj8ekdWuDZg,150514,2901,4531
CNN,Maggie Haberman: How Trump is changing his expectations of Biden in the debate,2024-06-21T02:28:57Z,1m43Eu2ADWE,279520,2804,1328
CNN,Man caught on camera throwing furniture off NYC high-rise,2024-06-21T01:02:57Z,7NNSyk_Sc5s,94549,2104,338
CNN,Ty Cobb: Judge Cannon’s moves go ‘way beyond’ inexperience,2024-06-21T01:00:30Z,d00-sq0q2cM,318369,5244,2294
CNN,‘Not surprised’: Andrew McCabe responds to Steve Bannon’s threats against him,2024-06-21T00:39:04Z,X9fW0tTLrsY,326186,7095,2689
NBC News,Dangerous early heat wave extends into the weekend,2024-06-21T23:45:04Z,oSXjDWOoftw,32575,153,141
NBC News,"Gunman kills 3 and wounds 10 at Arkansas grocery store, police say",2024-06-21T23:30:35Z,CtNJ1GilWV4,75051,524,459
NBC News,Judge denies Alec Baldwin&#39;s second attempt to get &#39;Rust&#39; case dismissed,2024-06-21T23:01:06Z,HUqrpx6LDco,7576,62,59
NBC News,Meet the Press NOW — June 21,2024-06-21T22:15:00Z,JVltE3tjze8,230614,1128,437
NBC News,Bernie Sanders campaigns with embattled Rep. Jamaal Bowman,2024-06-21T22:00:02Z,4Q2DkwEggSQ,9136,87,117
NBC News,"Arkansas grocery store shooting leaves 3 dead, multiple injured",2024-06-21T21:45:00Z,9EkXs4eHTIg,31805,278,211
NBC News,Biden campaign calls out what it calls ‘cheap fake’ viral videos circulated by Trump team,2024-06-21T21:30:04Z,pZ4CIZq0JpM,7172,56,293
NBC News,Texas woman convicted of hate crimes,2024-06-21T21:15:01Z,PTtBt-raric,12441,271,86
NBC News,’There were shots everywhere’: Arkansas pastor describes shooting,2024-06-21T21:07:14Z,MdyqgIvDIyU,14395,175,88
NBC News,Suspect in custody after deadly shooting at Arkansas grocery store,2024-06-21T20:21:17Z,NHd27oV6ca8,61133,419,614
NBC News,Houston police arrest suspects in 12-year-old&#39;s strangulation death,2024-06-21T19:45:01Z,knP98JDJ85A,65737,940,1066
NBC News,Trump lawyers question Jack Smith&#39;s appointment in classified documents case,2024-06-21T19:30:07Z,vFu7GRdWz8w,19581,153,136
NBC News,Pennsylvania couple drowns after being caught in a rip current off the Florida shore,2024-06-21T19:00:18Z,gcLg5YCIotA,61300,352,134
NBC News,Morning News NOW Full Broadcast – June 21,2024-06-21T16:20:34Z,hnr8zojrvz8,240675,944,81
NBC News,Special report: Supreme Court upholds domestic violence gun restriction,2024-06-21T15:08:20Z,wm8P1aNqvEQ,5548,81,54
NBC News,Why the Supreme Court’s gun ruling ‘upholds the status quo’,2024-06-21T15:07:42Z,8Y44qZ1mHKM,2978,40,20
NBC News,Supreme Court upholds ban on domestic abusers owning guns,2024-06-21T14:52:21Z,uNX02UWfn30,6980,160,209
NBC News,Deadly attack on Gaza&#39;s Al-Mawasi &#39;safe zone&#39; leaves mourning Palestinians wondering where to go,2024-06-21T14:27:45Z,petVKImBaEE,9174,53,75
NBC News,This Morning’s Top Headlines – June 21 | Morning News NOW,2024-06-21T12:41:53Z,ordpVoAf9sU,37039,260,33
NBC News,Beluga whales evacuated from Ukraine in complex mission,2024-06-21T12:30:19Z,I7fe_xtaXS0,4986,104,16
NBC News,State of the economy aboard a working schooner,2024-06-21T12:00:02Z,0O41evu0e2Y,3191,36,8
NBC News,Putin does not rule out supplying high-precision weapons to North Korea,2024-06-21T11:30:12Z,NhT1bTGyq4k,58062,270,606
NBC News,City in a poor China province becomes a leading electric vehicle production hub,2024-06-21T11:00:52Z,qgo4dlY1k5I,57275,693,680
NBC News,No letup in sweltering heat affecting 64 million Americans this weekend,2024-06-21T10:30:14Z,mXW2jfDOhuw,3983,25,21
NBC News,Stay Tuned NOW with Gadi Schwartz - June 20 | NBC News,2024-06-21T10:00:52Z,p4qdJ5KV5h0,26129,135,13
NBC News,Multiple people injured in Milwaukee police chase shooting,2024-06-21T06:28:34Z,OIS5h2xiInI,5428,64,19
NBC News,&#39;The danger is still here&#39;: New Mexico mayor talks wildfires,2024-06-21T04:30:27Z,pu3-HCXRyDA,12427,100,22
NBC News,Rapper Travis Scott charged with intoxication and trespassing in Miami Beach,2024-06-21T04:00:39Z,oc6q-rPbioo,6005,45,28
NBC News,Marine veteran makes music debut at Grand Ole Opry,2024-06-21T04:00:10Z,7dF_HFC9V4c,1438,36,6
NBC News,Drone video shows residual flooding from Tropical Storm Alberto,2024-06-21T03:56:14Z,ROwou79izHI,15937,495,45
NBC News,Climate disasters around U.S. are costing Americans billions,2024-06-21T03:30:21Z,twf5eBNDniI,27447,376,401
NBC News,Video shows suspected drunk driver hit two bikers in Texas,2024-06-21T03:30:04Z,Dzj4kSLhhq4,10972,164,115
NBC News,Philippines accuses China of slashing naval boat in South China sea,2024-06-21T03:03:09Z,wzEm1fRty34,115497,1132,1715
NBC News,FAA says Southwest plane flew unusually low over Oklahoma City suburb,2024-06-21T03:00:20Z,GOuZR2fXs68,11324,52,42
NBC News,Suspect wanted in multiple murders captured in Arkansas,2024-06-21T02:30:08Z,LpBt8enyQBI,25484,276,183
NBC News,Top Story with Tom Llamas - June 20 | NBC News NOW,2024-06-21T02:24:37Z,MLAiYhyMYvU,155215,493,59
